stdout            | warning | The default linear solver fails, the fallback solver with total pivoting is started at time 0.000000. That might raise performance issues, for more information use -lv LOG_LS.
stdout            | info    | azazazaza
stdout            | info    | time = 0
stdout            | info    | Platform.Active = 1
stdout            | info    | Platform.omega[1] = 0
stdout            | info    | Platform.omega[2] = 0.1
stdout            | info    | Platform.omega[3] = 0
stdout            | info    | Platform.q[1] = 1
stdout            | info    | Platform.q[2] = 0
stdout            | info    | Platform.q[3] = 0
stdout            | info    | Platform.q[4] = 0
stdout            | info    | Platform.r[1] = 0
stdout            | info    | Platform.r[2] = 1
stdout            | info    | Platform.r[3] = 0
stdout            | info    | Wheel1.Roller0.Active = 1
stdout            | info    | Wheel1.Roller0.omega[1] = 0
stdout            | info    | Wheel1.Roller0.omega[2] = 0.1
stdout            | info    | Wheel1.Roller0.omega[3] = -0.2
stdout            | info    | Wheel1.Roller0.q[1] = 0.707107
stdout            | info    | Wheel1.Roller0.q[2] = 0
stdout            | info    | Wheel1.Roller0.q[3] = 0.707107
stdout            | info    | Wheel1.Roller0.q[4] = 0
stdout            | info    | Wheel1.Roller0.r[1] = 2
stdout            | info    | Wheel1.Roller0.r[2] = 0.292893
stdout            | info    | Wheel1.Roller0.r[3] = 0
stdout            | info    | Wheel1.Roller1.Active = 1
stdout            | info    | Wheel1.Roller1.omega[1] = 0.1
stdout            | info    | Wheel1.Roller1.omega[2] = 0
stdout            | info    | Wheel1.Roller1.omega[3] = -0.2
stdout            | info    | Wheel1.Roller1.q[1] = 0.5
stdout            | info    | Wheel1.Roller1.q[2] = 0.5
stdout            | info    | Wheel1.Roller1.q[3] = 0.5
stdout            | info    | Wheel1.Roller1.q[4] = 0.5
stdout            | info    | Wheel1.Roller1.r[1] = 2
stdout            | info    | Wheel1.Roller1.r[2] = 1
stdout            | info    | Wheel1.Roller1.r[3] = 0.707107
stdout            | info    | Wheel1.Roller2.Active = 1
stdout            | info    | Wheel1.Roller2.omega[1] = 0
stdout            | info    | Wheel1.Roller2.omega[2] = -0.1
stdout            | info    | Wheel1.Roller2.omega[3] = -0.2
stdout            | info    | Wheel1.Roller2.q[1] = 4.32978e-17
stdout            | info    | Wheel1.Roller2.q[2] = 0.707107
stdout            | info    | Wheel1.Roller2.q[3] = 4.32978e-17
stdout            | info    | Wheel1.Roller2.q[4] = 0.707107
stdout            | info    | Wheel1.Roller2.r[1] = 2
